0 1 2
70 71 1
67 71 2
71 72 1
67 72 2
64 65 1
63 65 1
62 67 1
66 67 1
65 67 2
11 14 1
13 14 2
6 7 1
7 8 1
8 9 1
9 10 1
13 11 2
10 12 1
13 12 2
14 15 1
10 15 1
13 15 2
12 13 1
11 13 1
15 16 1
13 16 2
75 78 1
73 74 1
74 75 1
75 76 1
76 77 1
78 79 1
86 87 1
87 88 1
88 89 1
89 90 1
212 213 1
211 213 1
214 215 1
216 217 1
215 217 1
? 1 1 1

2 3 1
2 4 1
2 5 1
1 6 1
6 7 1
2 8 1
0 8 1
9 10 1
11 13 1
12 14 1
19 20 1
17 21 1
16 17 1
15 18 1
18 19 1
19 19 1
24 25 1
25 27 1
27 28 1
25 29 1
31 32 1
23 36 1
35 36 1
23 38 1
37 38 1
23 24 1
25 26 1
30 31 1
23 34 1
33 34 1
25 39 1
22 39 1
44 45 1
48 51 1
48 52 1
52 54 1
46 54 1
56 59 1
58 59 2
43 44 1
49 50 1
48 50 1
52 55 1
47 55 1
58 56 2
54 57 1
53 57 1
58 57 2
57 58 1
56 58 1
41 42 1
40 41 1
64 69 1
63 69 1
67 69 2
69 70 1
67 70 2
71 73 1
72 73 2
82 84 1
83 84 2
84 86 1
78 86 1
85 86 2
86 87 1
85 87 2
61 88 1
90 92 1
91 92 2
88 96 1
92 96 1
95 96 2
98 99 1
87 99 1
86 99 1
81 99 1
91 99 2
101 102 1
60 61 1
61 62 1
62 63 1
63 65 1
64 65 1
65 66 1
67 68 2
72 71 2
69 74 1
65 74 1
73 74 1
72 74 2
61 75 1
74 75 1
72 75 2
78 79 1
79 80 1
83 82 2
88 89 1
91 90 2
88 93 1
92 93 1
91 93 2
88 97 1
92 97 1
91 97 2
97 98 1
91 98 2
96 101 1
66 67 1
71 72 1
70 72 1
66 72 1
75 76 1
72 76 2
82 83 1
79 83 1
78 85 1
84 85 1
77 85 1
83 85 2
89 91 1
90 91 1
93 94 1
91 94 2
93 95 1
91 95 2
91 100 2
104 107 1
106 107 2
106 104 2
105 105 1
103 105 1
106 105 2
104 106 1
105 106 1
103 108 1
107 108 1
106 108 2
? 0 0 0

1 5 1
4 5 2
5 6 1
4 6 2
0 1 1
1 2 1
8 10 1
9 10 2
2 3 1
2 4 1
6 7 1
4 7 2
8 9 1
11 12 2
? 1 1 1

17 19 1
18 19 2
1 2 2
2 3 1
1 3 2
2 5 1
4 5 2
7 8 2
8 10 1
9 10 2
13 14 2
14 15 1
13 15 2
14 17 1
13 17 2
0 1 2
3 4 1
2 4 1
1 4 2
5 6 1
4 6 2
0 7 2
8 9 1
7 9 2
10 11 1
9 11 2
8 12 1
10 12 1
11 12 2
7 13 2
15 16 1
13 16 2
17 18 1
13 18 2
19 20 1
18 20 2
22 25 1
22 26 1
21 22 1
22 23 1
22 24 1
? 1 1 1

